"Symbol","Control1","Control2","Control3","Aldo1","Aldo2","Aldo3"
"A1BG",-2.22351699980763,-2.13653469795633,-2.38550190299629,-2.24654000059416,-2.51410059860993,-2.19707009839654
"A1BG-AS1",-2.07971479872434,-1.83498190029076,-2.0844229971889,-1.70551869989193,-2.08540999957848,-1.77417369823042
"A2LD1",-1.33398059866692,-1.35972310181968,-1.44511800086529,-1.07510089948386,-1.39379220019364,-1.27762700000673
"A2ML1",-2.1584182010829,-2.5277504992903,-2.29400010142092,-2.29638390016255,-1.7779960984596,-1.86890980219784
"A4GALT",-2.95217849947137,-2.93579050068807,-2.75273509996327,-1.98459719942749,-2.44899129778805,-2.40410100165779
"AAAS",0.868784900010927,0.678439139672843,0.893344899872898,0.770568849588735,0.69112489960224,0.622466100344042
"AACS",1.70869730002974,1.73518090013209,1.66876699985413,1.7890729999039,1.58392519997624,1.70903399980526
"AADAC",1.92977899982294,2.46156019993218,2.31677819992476,1.9169741000429,2.1245508001141,2.19391920010654
"AAGAB",3.53895379981553,3.43760970019382,3.46140670055259,3.39788340013439,3.29702949996507,3.19371129998819
"AAMP",2.20593829995348,2.39424040013558,2.37648200008131,2.40964699999661,2.29026129991781,2.26808929995701
"AANAT",-2.98602439432519,-3.01457499984407,-3.00246139727198,-2.84659430105364,-2.19965460232118,-2.3557358026713
"AARS",2.06620119988094,2.61571799991989,2.37231920002658,2.10162160006541,2.14120299990104,2.50162499995225
"AARS2",-1.17278960081372,-0.960221301126229,-0.913309099132586,-1.40167899861482,-1.08739280118831,-1.32314490079386
"AARSD1",0.292953499798285,0.536144259742024,0.515933040186282,0.587383299844602,0.419977200352668,0.518910400364031
"AASDH",-1.98157120181357,-1.89221644890722,-1.93089365077087,-2.01827715049928,-1.99244949753673,-1.96038029988072
"AASDHPPT",1.62303763317555,1.55719155651366,1.70551173327376,1.43453470003819,1.70132063331969,1.4853191466383
"AASS",-0.774082200872079,-0.763547900717999,-0.928023339028178,-0.732931138995115,-0.998074528735287,-0.938704500703946
"AATF",2.38010549993067,2.3724732000197,2.47059249993327,2.25388010012208,2.30997519997058,2.20870974999158
"AATK",-3.22386030598235,-3.2494034967414,-3.50504679848654,-2.58554269908006,-3.10815619600206,-2.39052250062493
"ABCA1",-1.30082610098126,-1.1427193001862,-0.984259599280068,-1.43286229884591,-1.09014510130378,-1.37149239837092
"ABCA11P",-2.93222099611256,-2.66579480288725,-2.79046249947347,-2.89886949523158,-2.83013100442505,-3.03561690055816
"ABCA2",-3.0588387955516,-3.18099210559618,-3.04828929936768,-2.89808320191338,-3.007944004377,-3.09890269601586
"ABCA3",-0.281667699587508,-0.408436780698083,-0.453827859670798,0.385528559529858,-0.0448846799777223,0.0526618965041966
"ABCA4",-2.70832160292667,-2.7325149041896,-2.90450719902431,-2.83619020467843,-3.34131429511769,-2.9201559977682
"ABCA5",-1.41349889950347,-1.33919332392934,-1.58257817650591,-1.68089074953707,-1.59285930133005,-1.47583585105429
"ABCA7",-1.98386380118981,-1.81495000125982,-2.12443160014436,-1.91361429871656,-2.12043669747792,-1.93455889759534
"ABCB1",-2.86162379957229,-2.32919979914779,-2.71412230459853,-2.48882769949255,-2.51807979991918,-2.22050049737034
"ABCB10",-2.29355023362404,-2.28680704651515,-2.50678944867304,-1.85706779723732,-2.06498839714424,-1.93908430294811
"ABCB6",0.74245547003849,1.06893493996187,1.09858989005761,0.973523139979478,1.0432329250374,1.12894819993154
"ABCB7",0.201447490568522,0.127171519653628,0.212300299542594,0.291440960437379,0.207910539848461,0.200614929881608
"ABCB8",-3.4216032064997,-3.56941840273469,-3.35723829872219,-3.26519059478613,-3.35865300257215,-3.38213100740991
"ABCC1",0.375620839726613,-0.0528993603320047,0.279186250378169,0.0264072416158349,-0.156118400438579,-0.430903430190797
"ABCC10",-1.92922780142556,-1.87560839840061,-1.81833739908735,-1.57429699811152,-1.80782799872354,-1.65211390086692
"ABCC5",-0.635305149397215,-0.384257050652458,-0.535280898082901,-0.634379900124513,-0.684532602397636,-0.595202448020369
"ABCD3",-1.97105689879828,-1.94327259772165,-1.86828139925593,-1.931980098569,-1.7756041996127,-1.89616580227002
"ABCD4",0.493194580483835,0.46065330000532,0.364184379746585,0.536004069658998,0.584667199877866,0.65266895017159
"ABCE1",-0.846344014217788,-0.822779169311646,-0.600474813783645,-1.14433238472826,-0.707196244121011,-0.958965785874994
"ABCF1",1.67885780021828,1.81749340010962,1.81965639994028,1.71958349988209,1.81575679988556,1.80606369993941
"ABCF2",0.548078549863526,0.411339265145269,0.568438515585259,0.45356749952459,0.433788799646241,0.383556400446105
"ABCF3",1.16552829983426,1.06941030031564,1.0895948000339,1.09855560008079,1.01978490028622,1.00211430002208
"ABCG1",-0.611032500293769,-0.546771999200346,-0.479324340176298,-0.579912199234854,-0.763592699845192,-0.979664799263123
"ABCG2",0.905282999655402,0.567319870188388,0.472780229911042,2.14228529995041,1.286436099968,1.54720020008316
"ABHD10",-0.649043100068961,-0.799719548194069,-0.696929199431216,-1.04355410066357,-0.913483132326552,-1.06271026738714
"ABHD11",0.337226213779656,0.25142763364956,0.223993620022931,0.0868463465922498,-0.336645766274933,-0.352519032865725
"ABHD12",1.46357345002073,1.27988625018148,1.25105331485069,1.61456442986911,1.20163870000077,1.2566957298552
"ABHD13",-1.81562420201263,-1.63055230012368,-1.69592479969232,-1.94760800163984,-1.63876629800884,-1.74374870235978
"ABHD14A",0.0889139200500289,-0.257920270059624,-0.222503659816983,0.0495786666750936,-0.499923700048238,-0.52740859944526
"ABHD14B",-0.759384160896695,-0.800837500944704,-0.904548650945368,-0.815953249989742,-1.07993700050418,-0.881210299376778
"ABHD15",-2.37725970013316,-2.72722630295639,-2.6348739031702,-2.20738839666974,-2.59197519709433,-2.50680970386775
"ABHD16A",-1.55691049886194,-1.25090410018904,-1.34273619993436,-1.45211320162196,-1.5290984989208,-1.53853419965029
