"","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
"ASCL4",18,17,21,7
"WSCD2",1,4,1,0
"CMKLR1",0,0,0,2
"FICD",604,737,572,528
"SART3",4648,5621,4659,4258
"ISCU",2181,3247,2453,2367
"TMEM119",1,0,0,1
"SELPLG",8,8,9,5
"MIR4496",0,0,1,0
"CORO1C",2523,3412,2487,2366
"SSH1",2489,2828,2308,2193
"SVOP",5,0,1,0
"USP30",1230,1504,1333,1167
"ALKBH2",963,1232,1066,906
"UNG",5157,6552,5357,4582
"ACACB",329,429,314,299
"FOXN4",11,7,13,4
"MYO1H",17,11,17,19
"KCTD10",3697,4969,3494,3600
"UBE3B",5864,7182,5361,5289
"MMAB",1990,2835,2232,1839
"MVK",2287,3516,2668,2097
"FAM222A",719,787,843,484
"FAM222A-AS1",10,7,5,0
"TRPV4",215,269,194,185
"GLTP",4905,7084,5020,4874
"TCHP",1810,2252,2002,1674
"GIT2",2458,3059,2443,2444
"ANKRD13A",5501,7216,5528,5461
"C12orf76",344,381,369,345
"IFT81",849,1011,854,817
"ATP2A2",20572,26270,17401,18259
"ANAPC7",5534,6854,6005,5340
"ARPC3",12694,18516,15555,14347
"GPN3",1034,1399,1052,1094
"FAM216A",331,447,422,370
"VPS29",4137,5590,4715,4671
"RAD9B",108,125,90,139
"PPTC7",1354,1753,1236,1297
"TCTN1",1502,1909,1589,1610
"HVCN1",15,26,22,21
"PPP1CC",8632,11071,8333,8750
"CCDC63",2,0,0,0
"CUX2",11,7,4,7
"PHETA1",874,940,929,724
"SH2B3",428,514,352,375
"ATXN2",3457,4453,3199,3398
"BRAP",2033,2533,1930,2023
"ACAD10",1930,2348,1993,1789
"ALDH2",153,219,161,162
"MIR6761",1,0,0,0
"MAPKAPK5-AS1",665,991,814,800
"MAPKAPK5",2482,3351,2322,2478
"TMEM116",614,952,656,699
"ERP29",8177,11912,9080,8470
"NAA25",3103,3911,2914,3101
"MIR3657",2,1,0,1
"TRAFD1",4152,5509,3814,3968
"HECTD4",9042,9764,8490,7522
"RPL6",18120,27885,21459,20098
"PTPN11",11791,15301,10303,10881
"RPH3A",6,7,9,3
"OAS1",8095,4941,7343,6690
"OAS3",12500,6857,8827,7786
"OAS2",6068,1653,3849,3774
"DTX1",387,478,402,341
"RASAL1",2486,3357,2350,2312
"CFAP73",38,51,60,42
"DDX54",5229,6439,6104,4118
"RITA1",1702,2316,1831,1455
"IQCD",182,246,165,205
"TPCN1",8435,11399,8384,8322
"MIR6762",1,0,1,1
"SLC8B1",2735,3544,2714,2435
"PLBD2",3613,4480,2887,2978
"SDS",6,9,15,8
"SDSL",1416,1869,1422,1228
"LHX5",0,0,1,0
"LINC01234",129,141,132,126
"RBM19",2032,2561,2099,1951
"TBX5",0,0,1,0
"TBX3",494,664,552,486
"MED13L",16309,18129,14526,14301
"LINC00173",314,307,335,249
"MAP1LC3B2",136,146,138,100
"SPRING1",3639,4996,3006,3307
"RNFT2",446,532,473,472
"HRK",1,3,3,1
"FBXW8",1731,2160,1869,1673
"TESC",36,33,25,35
"FBXO21",3317,4243,3244,3132
"NOS1",1,0,0,1
"KSR2",309,435,320,314
"RFC5",2761,3511,3189,2797
"WSB2",5140,7029,4672,4596
"VSIG10",5191,6499,4625,4682
"PEBP1",16439,23102,19346,16438
"TAOK3",3888,4600,3869,3203
"SUDS3",6419,8442,6163,6418
"SRRM4",0,0,0,2
"HSPB8",6723,10260,7478,7386
"CCDC60",7,9,3,7
"TMEM233",1,0,1,0
"PRKAB1",1459,1966,1526,1396
"CIT",5023,6175,5328,4807
"MIR1178",0,1,0,2
"BICDL1",4182,5645,4863,3968
"RAB35",5112,6938,5055,4692
"GCN1",17745,21451,15597,15405
"RPLP0",58049,87918,63567,60068
"PXN",21854,27125,20371,19881
"RNU4-2",13,3,10,3
"SIRT4",78,92,76,103
"PLA2G1B",0,1,0,1
"MSI1",642,741,793,627
"COX6A1",8760,12757,11775,9147
"TRIAP1",1429,2029,1590,1581
"GATC",2861,3584,2993,2835
"SRSF9",3785,5139,4153,3534
"DYNLL1",9059,13025,10417,9509
"NRAV",870,1272,839,826
"COQ5",2792,4122,2907,2777
"RNF10",10998,14465,10888,10883
"POP5",889,1271,1089,1003
"CABP1",7,13,5,4
"MLEC",25658,34918,22175,23754
"UNC119B",2169,3077,1873,2009
"ACADS",34,43,46,36
"SPPL3",3538,4415,3256,3212
"HNF1A-AS1",0,2,0,0
"HNF1A",114,118,102,105
"C12orf43",1038,1471,1150,984
"OASL",1957,1079,1411,1252
"P2RX7",7,3,2,7
"P2RX4",1700,1883,1918,1595
"CAMKK2",5326,6367,5109,4796
"ANAPC5",10739,14188,11400,10603
"RNF34",1789,2357,1884,1897
"KDM2B",2590,3111,2596,2397
"MIR7107",1,4,1,2
"ORAI1",1903,2145,2407,1398
"MORN3",51,56,57,43
"TMEM120B",2491,2951,2945,2377
"RHOF",71,96,128,38
"LINC01089",565,671,660,591
"SETD1B",2971,3181,2909,2248
"HPD",42,41,25,35
"PSMD9",2957,3906,3400,2774
"CFAP251",140,169,170,136
"BCL7A",1747,2107,1781,1571
"MLXIP",7211,8724,6633,6031
"LRRC43",19,26,26,16
"B3GNT4",170,242,220,182
"DIABLO",2984,4082,3283,2963
"VPS33A",2113,2952,1994,2010
"CLIP1",8444,10633,7757,7701
"ZCCHC8",2874,3578,2997,2926
"RSRC2",4047,5543,4463,4070
"KNTC1",6486,7604,7126,6954
"HCAR2",48,49,45,34
"HCAR3",26,35,18,28
"HCAR1",233,289,208,257
"DENR",4937,6239,4602,4729
"CCDC62",1,6,5,8
"HIP1R",7064,8433,8172,5726
"VPS37B",7653,10279,8705,6468
"ABCB9",4962,5871,5048,3934
"OGFOD2",1779,2165,2115,1429
"ARL6IP4",6861,9302,8800,6240
"PITPNM2",1106,1406,1161,953
"PITPNM2-AS1",1,2,4,8
"MPHOSPH9",1474,1771,1459,1440
"MTRFR",645,889,731,669
"CDK2AP1",4962,6416,4832,5294
"SBNO1",5810,7247,5429,5557
"KMT5A",2381,3223,2417,2140
"RILPL2",283,434,345,347
"SNRNP35",669,1035,862,793
"RILPL1",863,1004,1112,843
"TMED2",20704,27600,18900,20228
"DDX55",2872,3597,3220,3026
"EIF2B1",3488,4596,3582,3578
"GTF2H3",1570,2000,1543,1596
"TCTN2",983,1257,1066,1052
"ATP6V0A2",1298,1768,1185,1295
"DNAH10",8,10,15,10
"CCDC92",32,39,45,20
"ZNF664",13064,15988,12202,12648
"RFLNA",6,4,6,1
"NCOR2",24894,25622,28579,16035
"MIR6880",0,0,2,0
"SCARB1",11442,14550,10704,9659
"UBC",67455,94010,70239,71904
"MIR5188",1,0,1,0
"DHX37",3424,3909,3383,2738
"BRI3BP",346,434,380,266
"THRIL",869,998,636,685
"AACS",5873,7976,5782,5298
"TMEM132B",23,29,15,18
"LINC00939",0,2,1,1
"LINC00943",0,3,0,0
"SLC15A4",1185,1500,1130,1266
"TMEM132D-AS1",6,19,6,13
"RIMBP2",1,1,0,1
"STX2",509,670,505,513
"RAN",16050,22216,16453,16037
"ADGRD1",2,4,3,5
"LINC01257",0,1,0,0
"SFSWAP",3670,4697,4396,3429
"MMP17",1893,2044,3098,1054
"ULK1",8679,9625,10410,5937
"PUS1",2378,2812,2685,2142
"EP400",7013,7822,7560,6212
"SNORA49",3,0,3,2
"DDX51",3879,4612,4361,3684
"NOC4L",1528,1718,1844,1035
"GALNT9",13,8,19,7
"FBRSL1",4053,4442,5516,3096
"MIR6763",3,2,6,1
"LRCOL1",8,5,1,6
"P2RX2",518,620,626,418
"POLE",14019,15656,14981,12516
"PXMP2",848,1187,942,814
"PGAM5",5574,7733,6126,5405
"ANKLE2",8478,10088,8704,7516
"GOLGA3",13217,15595,13148,11498
"CHFR",4054,5011,4826,3506
"CHFR-DT",13,36,22,23
"ZNF605",907,1104,914,1008
"ZNF26",1284,1565,1381,1413
"ZNF84-DT",2,2,2,2
"ZNF84",2091,2430,2218,2166
"ZNF140",983,1306,1167,1049
"ZNF891",72,82,71,85
"ZNF10",714,720,753,669
"ZNF268",1424,1756,1439,1431
"LINC00421",0,0,2,0
"TPTE2",3,7,4,5
"MPHOSPH8",1899,2364,1973,1833
"PSPC1",3010,4144,2976,3144
"ZMYM5",720,874,767,868
"ZMYM2",5615,6779,5446,5595
"LINC01072",2,1,1,0
"GJA3",2,2,1,2
"GJB2",18,36,23,24
"GJB6",1,1,1,0
"CRYL1",558,831,516,557
"MIR4499",0,0,0,1
"IFT88",429,521,458,441
"IL17D",88,111,67,71
"EEF1AKMT1",80,167,109,111
"XPO4",1564,1796,1357,1496
"LATS2",791,974,824,668
"SAP18",4678,6854,5552,5208
"SKA3",937,1203,970,955
"MRPL57",1033,1311,1653,760
"ZDHHC20",3594,4561,3342,3478
"MICU2",1730,2109,1580,1598
"FGF9",1,1,3,1
"SGCG",1,0,0,0
"SACS",707,946,617,700
"LINC00327",0,3,5,0
"TNFRSF19",25,24,27,20
"MIPEP",1279,1814,1348,1296
"PCOTH",7,9,7,4
"C1QTNF9B",11,6,10,13
"SPATA13",4126,5317,3868,4098
"MIR2276",0,1,1,0
"SPATA13-AS1",2,1,3,2
"C1QTNF9",9,20,18,15
"PARP4",4115,5084,3400,3817
"ATP12A",4,10,9,10
"RNF17",132,126,111,154
"CENPJ",1725,2099,1893,1864
"PABPC3",70,75,75,49
"AMER2",5,5,1,5
"MTMR6",2473,3217,2058,2343
"NUP58",3646,4406,3080,3296
"ATP8A2",512,721,503,539
"SHISA2",121,127,97,79
"RNF6",3379,4704,3056,3137
"CDK8",1660,2153,1424,1678
"WASF3",1304,1652,1369,1245
"GPR12",0,1,0,1
"USP12",2456,3006,2361,2329
"RPL21",3592,5454,4155,3767
"SNORD102",23,27,20,34
"SNORA27",27,32,26,26
"RASL11A",20,28,13,20
"GTF3A",3789,5394,4421,4071
"MTIF3",1123,1672,1372,1224
"LNX2",950,1401,776,970
"POLR1D",2756,3992,3199,2720
"PDX1",3,5,5,3
"CDX2",0,2,0,0
"URAD",0,0,1,0
"FLT3",187,181,157,111
"PAN3",2843,3206,2791,2987
"FLT1",10,6,10,8
"POMP",3098,4373,3278,3435
"SLC46A3",2103,2465,1791,2040
"MTUS2",49,69,23,44
"SLC7A1",6539,8346,6072,5736
"UBL3",16603,19303,16528,16102
"LINC00297",0,0,0,1
"LINC00572",5,6,6,4
"KATNAL1",643,732,510,585
"LINC00426",3,6,0,2
"HMGB1",9209,12055,10070,9660
"USPL1",2323,2658,2363,2460
"ALOX5AP",26,32,18,19
"LINC00398",0,2,2,1
"HSPH1",16117,21064,14709,15148
"B3GLCT",421,496,376,369
"FRY",124,150,72,103
"ZAR1L",4,7,5,1
"BRCA2",1504,1592,1460,1420
"N4BP2L1",101,127,126,133
"N4BP2L2",3384,4121,3775,3785
"N4BP2L2-IT2",359,364,352,336
"PDS5B",2267,2732,2170,2246
"KL",610,836,547,648
"STARD13",1362,1865,1391,1477
"RFC3",2568,3374,2452,2618
"NBEA",616,776,478,547
"MAB21L1",0,3,2,1
"DCLK1",25,17,19,9
"SOHLH2",1,0,0,0
"CCDC169",1,3,0,0
"SPART",436,532,421,413
"CCNA1",15,23,11,9
"SMAD9",41,44,29,45
"RFXAP",176,163,186,169
"ALG5",1796,2374,2102,1796
"EXOSC8",962,1323,1242,1084
"SUPT20H",3365,4078,3410,3542
"CSNK1A1L",90,155,99,102
"TRPC4",3,3,1,2
"LINC00571",3,10,3,2
"UFM1",3095,3762,3010,3274
"FREM2",9013,8745,6714,6101
"PROSER1",5603,6684,4776,4981
"NHLRC3",1998,2071,1886,2000
"LHFPL6",102,130,107,109
"COG6",2068,2750,2079,2131
"MIR4305",0,0,0,3
"LINC00598",7,10,5,9
"FOXO1",395,463,352,331
"MRPS31",1015,1385,1224,1132
"SLC25A15",1479,1804,1351,1344
"ELF1",1833,2349,1652,1676
"WBP4",705,931,785,654
"MIR3168",0,2,0,0
"KBTBD6",413,466,391,415
"KBTBD7",470,520,392,394
"MTRF1",437,521,501,524
"NAA16",1079,1423,1125,1140
"RGCC",3,4,2,3
"VWA8",2061,2926,1892,2050
"MIR5006",3,2,1,1
"VWA8-AS1",0,2,0,0
"DGKH",2955,3514,2587,3230
"AKAP11",3344,3808,2851,3306
"TNFSF11",0,4,0,7
"EPSTI1",16,36,21,23
"DNAJC15",353,481,380,444
"ENOX1",108,145,106,94
"CCDC122",192,196,179,185
"LACC1",739,894,647,758
"NRAD1",233,228,193,145
"SMIM2",3,3,2,1
"SMIM2-IT1",1,1,0,0
"SERP2",46,56,57,37
"TUSC8",4,13,4,5
"TSC22D1",8134,11544,7594,7970
"TSC22D1-AS1",27,37,31,25
"NUFIP1",724,914,710,676
"GPALPP1",977,1192,991,977
"GTF2F2",1080,1600,1279,1205
"KCTD4",1,0,0,3
"TPT1",70696,99606,85577,72590
"SNORA31",33,32,35,29
"SLC25A30",1121,1292,1028,1073
"SLC25A30-AS1",1,2,3,2
"COG3",3343,4216,3210,3249
"ZC3H13",4893,6081,4715,4582
"CPB2-AS1",11,6,3,8
"CPB2",2,4,5,3
"LCP1",805,1106,846,711
"LRRC63",7,5,3,4
"LINC00563",1,0,0,0
"RUBCNL",2,4,2,3
"LRCH1",936,1255,875,944
"ESD",2725,3801,2975,3032
"LINC00562",17,22,22,22
"SUCLA2",2284,3320,2136,2141
"NUDT15",1117,1640,1264,1169
"MED4",1574,2147,1692,1837
"MED4-AS1",5,6,4,5
"ITM2B",9975,12626,10483,10178
"RB1-DT",2,5,2,1
"RB1",4114,4817,3417,3788
"LPAR6",20,33,24,35
"RCBTB2",136,218,105,115
"LINC00462",0,1,0,0
"FNDC3A",1271,1546,1119,1205
"CDADC1",238,301,227,250
"CAB39L",1479,2000,1382,1292
"SETDB2",1105,1295,1108,1006
"PHF11",1761,1669,1787,1703
"RCBTB1",1707,2078,1592,1720
"ARL11",81,97,55,74
"EBPL",1497,2157,1624,1643
"KPNA3",2742,3533,2361,2809
"SPRYD7",859,1369,1056,955
"DLEU2",58,74,79,93
"MIR3613",1,1,5,1
"TRIM13",1354,1656,1280,1475
"KCNRG",16,31,33,31
"MIR15A",0,0,0,1
"DLEU1",210,244,241,224
"DLEU7",0,0,1,1
"RNASEH2B",851,1073,896,841
"GUCY1B2",62,38,30,50
"C13orf42",0,3,0,0
"FAM124A",103,131,108,86
"SERPINE3",64,61,62,46
"MIR5693",1,1,0,0
"INTS6",2102,2471,1922,1880
"WDFY2",1497,1793,1440,1328
"DHRS12",804,1114,851,783
"TMEM272",5,16,5,10
"ATP7B",1049,1393,973,915
"ALG11",390,375,289,330
"UTP14C",2255,2919,2054,2110
"NEK5",119,148,112,120
"NEK3",474,680,522,562
"THSD1",83,98,106,82
"VPS36",3009,3492,2749,2916
"CKAP2",4564,5776,4271,4532
"HNRNPA1L2",467,695,561,465
"SUGT1",1398,1963,1524,1440
"CNMD",3,0,2,2
"PCDH8",70,90,78,65
"OLFM4",0,2,1,0
"LINC00458",0,3,1,2
"PCDH17",10,15,9,12
"DIAPH3",1617,2233,1595,1540
"DIAPH3-AS1",0,0,0,1
"TDRD3",935,1299,1045,1068
"PCDH20",9,6,7,5
"PCDH9",14,12,6,11
"KLHL1",1,2,0,1
"DACH1",132,174,108,119
"MZT1",1318,1721,1706,1465
"BORA",1241,1716,1293,1319
"DIS3",3201,3842,2755,3193
"PIBF1",491,694,556,582
"KLF5",968,1438,807,1020
"KLF12",392,486,392,374
"TBC1D4",1124,1168,1086,923
"COMMD6",1475,2039,1748,1662
"UCHL3",1151,1534,1330,1131
"LMO7-AS1",2,6,3,5
"LMO7",4822,6331,4298,4699
"LMO7DN",3,3,3,6
"LMO7DN-IT1",5,2,0,0
"KCTD12",746,864,652,740
"ACOD1",0,0,1,0
"CLN5",728,892,709,703
"FBXL3",1184,1615,1066,1224
"MYCBP2",4435,5264,3632,3990
"MYCBP2-AS1",1,0,1,1
"SCEL",40,86,36,42
"SLAIN1",503,737,495,565
"EDNRB",0,0,0,1
"OBI1-AS1",0,5,2,4
"POU4F1",0,1,1,0
"OBI1",703,879,703,732
"RBM26",4138,5059,3941,4169
"RBM26-AS1",63,68,59,57
"NDFIP2",1827,2473,1607,2005
"LINC01068",2,4,3,1
"SPRY2",128,141,114,108
"SLITRK1",34,21,26,33
"SLITRK6",443,571,351,447
"MIR4500HG",2,1,2,0
"MIR4500",2,0,0,0
"SLITRK5",300,394,262,324
"MIR622",18,21,23,16
"MIR17HG",38,54,64,55
"GPC5",160,254,141,160
"MIR548AS",0,0,3,0
"GPC6",345,473,286,349
"GPC6-AS1",1,0,1,0
"DCT",1,0,0,0
"TGDS",650,656,561,614
"GPR180",1424,1595,1135,1303
"SOX21",1,2,0,3
"SOX21-AS1",2,2,1,6
"ABCC4",229,251,195,156
"CLDN10",1,0,0,0
"DZIP1",11,13,10,15
"DNAJC3",5007,6422,4584,4824
"UGGT2",1850,2408,1855,1934
"HS6ST3",3500,4062,3063,2989
"OXGR1",94,91,88,77
"MBNL2",209,217,171,186
"RAP2A",1619,2058,1490,1661
"IPO5",6283,8262,5893,5916
"FARP1",5033,6518,5350,4815
"RNF113B",3,4,3,1
"MIR3170",0,0,0,1
"STK24",8987,11784,9375,8618
"SLC15A1",232,272,184,178
"DOCK9",3386,4398,3003,2846
"DOCK9-AS1",0,1,0,0
"UBAC2-AS1",60,65,45,56
"UBAC2",4108,5131,4209,3726
"GPR18",20,26,19,23
"GPR183",4,4,3,5
"MIR623",2,1,0,1
"TM9SF2",16713,21604,13906,15661
"CLYBL",107,127,113,101
"ZIC5",0,2,1,1
"ZIC2",319,335,340,276
"PCCA",1270,1850,1228,1311
"GGACT",462,571,471,367
"TMTC4",1590,1907,1557,1519
"NALCN",8,17,6,13
"ITGBL1",0,0,0,1
"FGF14",3,0,0,1
"FGF14-IT1",0,1,1,0
"FGF14-AS2",22,46,34,40
"TPP2",3699,4485,3535,3610
"METTL21C",0,1,1,1
"CCDC168",8,13,8,7
"TEX30",570,666,654,566
"POGLUT2",230,259,233,230
"BIVM",711,931,795,905
"ERCC5",149,210,129,139
"METTL21EP",19,13,14,19
"DAOA-AS1",0,1,0,0
"EFNB2",1064,1150,859,949
"ARGLU1",4101,4710,5037,4004
"NALF1",265,368,220,268
"MIR1267",0,0,3,2
"LIG4",737,841,643,800
"ABHD13",659,840,587,667
"TNFSF13B",89,83,74,88
"MYO16",176,170,146,119
"MYO16-AS1",0,0,1,0
"IRS2",242,310,236,205
"COL4A1",46,56,31,33
"COL4A2",138,155,88,86
"COL4A2-AS1",0,2,2,1
"RAB20",1470,1860,1529,1217
"NAXD",4681,6197,4839,4473
"CARS2",2633,3419,3188,2512
"ING1",756,907,928,701
"PRECSIT",5,15,13,6
"ANKRD10",3916,4379,4439,4150
"ARHGEF7",5264,6298,5336,5029
"TEX29",22,18,6,12
"LINC00354",0,0,1,0
"TUBGCP3",1629,2098,1510,1456
"ATP11AUN",4,1,1,4
"ATP11A",7293,7965,6854,6093
"ATP11A-AS1",3,17,7,6
"MCF2L",3050,3393,3265,2284
"F7",315,487,464,343
"F10",23,26,24,28
"F10-AS1",0,0,1,1
"PROZ",51,70,78,66
"PCID2",2558,3251,2753,2803
"CUL4A",8533,11032,8663,8165
"MIR8075",2,2,2,3
"LAMP1",22305,29674,23507,20188
"GRTP1",1600,1697,1964,1388
"ADPRHL1",1602,2344,1848,1539
"DCUN1D2",1922,2417,2427,2150
"TMCO3",4586,6392,4337,4044
"TFDP1",9753,12002,9916,8998
"ATP4B",2,0,2,1
"GRK1",0,1,0,0
"LINC00552",0,3,0,0
"TMEM255B",43,69,74,59
"GAS6",1665,1996,2198,1280
"GAS6-DT",36,42,44,39
"LINC00452",0,1,0,1
"C13orf46",3,2,5,6
"RASA3",674,777,701,521
"CDC16",3988,5245,4080,4111
"MIR548AR",7,3,1,5
"MIR4502",0,2,0,1
"UPF3A",2391,3091,2843,2463
"CHAMP1",2069,2596,1702,2034
"OR11H12",0,0,2,0
"POTEG",1,0,1,10
"OR11H4",0,1,1,2
"TTC5",637,803,603,568
"CCNB1IP1",1583,2089,1720,1530
"PARP2",2304,2803,2447,2145
"TEP1",4108,4996,3668,3956
"KLHL33",0,2,1,0
"OSGEP",1167,1496,1422,1241
"APEX1",8511,11502,9050,8563
"PIP4P1",2384,3277,2535,2283
"PNP",5703,7822,5612,5263
"ANG",34,48,45,48
"RNASE4",99,159,114,117
"RNASE1",2,1,0,0
"METTL17",1761,2246,1796,1725
"SLC39A2",2,4,3,3
"NDRG2",933,1396,908,912
"MIR6717",0,1,0,1
"TPPP2",1,1,5,2
"RNASE13",1,1,3,2
"ARHGEF40",602,700,639,516
"ZNF219",1078,1114,1753,683
"TMEM253",26,30,34,23
"OR5AU1",3,2,4,0
"LINC00641",2713,2953,2483,2726
"HNRNPC",19640,27507,20979,20590
"RPGRIP1",85,128,88,99
"SUPT16H",11921,15397,11683,11237
"CHD8",8891,11231,8387,8468
"SNORD9",10,10,3,7
"SNORD8",6,1,3,1
"RAB2B",1270,1654,1371,1356
"TOX4",4733,6174,4381,4343
"METTL3",2781,3427,3049,2912
"SALL2",417,439,373,355
"OR10G2",0,0,1,1
"DAD1",3543,5026,3617,3719
"ABHD4",1619,2390,1598,1612
"OXA1L",8811,12435,9682,9265
"SLC7A7",28,45,36,38
"MRPL52",1527,2009,2042,1195
"MMP14",15,11,16,8
"LRP10",18483,23067,17205,14970
"REM2",67,72,62,57
"RBM23",5326,7148,5259,4987
"PRMT5",2573,3690,2270,2558
"PRMT5-DT",4,3,7,4
"HAUS4",2347,3273,2638,2383
"AJUBA",1236,1360,1173,1072
"C14orf93",545,689,570,503
"PSMB5",10655,15353,10564,10607
"PSMB11",3,0,0,0
"CDH24",1729,1864,1678,1461
"ACIN1",15289,18743,16558,15207
"C14orf119",2298,3125,2332,2359
"CEBPE",0,1,0,0
"SLC7A8",520,721,471,532
"RNF212B",106,102,96,79
"HOMEZ",1541,2062,1472,1579
"PPP1R3E",393,390,445,397
"BCL2L2",3337,4355,3277,3357
"PABPN1",163,174,216,148
"SLC22A17",263,309,287,221
"EFS",169,243,184,166
"MYH6",0,0,1,0
"MYH7",1,2,1,0
"NGDN",1581,2149,1703,1521
"THTPA",853,1135,884,855
"ZFHX2",715,791,708,586
"AP1G2",8417,10868,8354,8398
"AP1G2-AS1",859,1035,945,821
"JPH4",1,0,1,1
"DHRS2",6209,5838,6376,5607
"DHRS4-AS1",1869,2634,1872,1999
"DHRS4",530,893,634,546
"DHRS4L2",624,1029,767,693
"CARMIL3",76,127,94,100
"CPNE6",2,0,1,1
"NRL",115,149,80,108
"PCK2",4305,5443,4558,4036
"DCAF11",8209,11374,8070,7641
"FITM1",19,12,17,7
"PSME1",13989,15706,15123,13223
"EMC9",1305,1561,1552,1302
"PSME2",10505,12082,11693,10729
"RNF31",6592,7638,6683,6040
"IRF9",6891,5914,7437,6243
"REC8",1781,1506,1939,1753
"IPO4",5227,6978,4824,4281
"TM9SF1",5958,7338,5836,5766
"TSSK4",79,90,61,71
"CHMP4A",1329,1888,1392,1456
"MDP1",57,86,87,52
"NEDD8",3003,4488,3234,3365
"GMPR2",5079,7090,5033,5103
"TINF2",2384,3319,2305,2243
"TGM1",609,735,525,580
"RABGGTA",3418,4371,3455,3213
"DHRS1",2004,2652,2154,2020
"NOP9",4185,5302,3542,3712
"CIDEB",73,78,54,64
"LTB4R2",283,264,282,251
"LTB4R",3420,4031,3450,3768
"ADCY4",14,14,13,6
"RIPK3",1,0,1,2
"NFATC4",1650,2152,1769,1657
"NYNRIN",945,1166,861,890
"KHNYN",7095,9174,6400,6808
"CBLN3",92,96,80,81
"SDR39U1",504,627,618,408
"CMA1",2,3,4,4
"STXBP6",193,273,191,200
"NOVA1",193,250,196,160
"LINC00645",1,0,0,0
"PRKD1",123,162,120,119
"G2E3",1441,1833,1428,1545
"SCFD1",2125,2825,2180,2187
"COCH",50,58,46,41
"STRN3",2780,3560,2606,2703
"MIR624",2,0,0,0
"AP4S1",382,583,454,387
"HECTD1",9681,12011,8500,9073
"HEATR5A",2586,3523,2161,2390
"HEATR5A-DT",18,10,13,21
"DTD2",920,1221,1016,977
"NUBPL",884,1194,824,834
"ARHGAP5",3313,3728,2727,3111
"RNU6-8",21,39,36,25
"AKAP6",107,149,73,102
"NPAS3",96,93,71,74
"EGLN3",221,260,221,187
"SPTSSA",4614,6297,4708,4862
"EAPP",1587,2135,1788,1705
"SNX6",2171,2822,2143,2187
"CFL2",257,376,273,315
"BAZ1A",4977,6056,4649,4692
"SRP54",5224,7264,5197,5285
"FAM177A1",1515,2079,1678,1536
"PPP2R3C",597,679,533,542
"PRORP",2213,2865,2087,2113
"PSMA6",7298,10336,7994,7836
"NFKBIA",3516,4343,3384,3023
"INSM2",13,8,4,11
"RALGAPA1",1863,2115,1453,1820
"BRMS1L",447,579,385,513
"MBIP",690,893,714,644
"NKX2-1",33,58,54,38
"NKX2-1-AS1",2,0,0,0
"NKX2-8",2,1,7,3
"PAX9",404,478,319,302
"SLC25A21",175,308,191,219
"SLC25A21-AS1",27,34,22,31
"MIPOL1",262,306,279,298
"FOXA1",13095,14923,13510,11460
"TTC6",816,823,811,768
"SSTR1",1,4,6,1
"CLEC14A",0,1,0,0
"LINC00639",2,2,0,0
"SEC23A",1973,2366,1625,1836
"GEMIN2",424,562,396,432
"TRAPPC6B",1906,2468,1840,2054
"PNN",9504,11964,10913,10051
"MIA2",1925,2628,1736,1906
"MIA2-AS1",0,1,2,0
"FBXO33",692,962,684,667
"LRFN5",1,0,1,1
"C14orf28",252,340,256,256
"KLHL28",671,758,531,604
"TOGARAM1",1360,1557,1272,1320
"PRPF39",2386,2940,2836,2979
"FKBP3",3112,4294,3625,3436
"FANCM",678,803,729,684
"MIS18BP1",1422,1619,1333,1407
"LINC00871",2,8,4,6
"MDGA2",2,0,1,0
"RPS29",8310,12961,9492,9252
"RN7SL1",1969,2742,2293,2142
"LRR1",1019,1138,1017,918
"RPL36AL",6552,9499,7618,7146
"MGAT2",1107,1452,1079,1121
"DNAAF2",490,509,534,437
"POLE2",656,796,702,651
"KLHDC1",71,104,60,60
"KLHDC2",2477,2938,2613,2162
"NEMF",3144,4114,3168,3198
"RN7SL2",3094,4143,3206,2889
"ARF6",9068,11768,9557,9495
"LINC01588",256,414,328,322
"VCPKMT",418,506,416,510
"SOS2",2602,3402,2407,2656
"L2HGDH",1175,1398,1091,1022
"DMAC2L",595,778,628,625
"CDKL1",91,108,119,118
"MAP4K5",2453,3119,2421,2678
"ATL1",442,644,452,436
"SAV1",641,876,686,679
"NIN",3389,4465,3162,3191
"ABHD12B",2,3,5,3
"PYGL",1137,1419,1098,1150
"TRIM9",351,334,348,303
"TMX1",2002,2437,1826,1839
"FRMD6",270,304,225,232
"FRMD6-AS2",10,17,15,9
"GNG2",0,0,2,0
"RTRAF",5093,7337,5520,5432
"NID2",50,57,61,64
"PTGER2",2,4,5,2
"TXNDC16",503,718,458,520
"GPR137C",236,277,275,246
"ERO1A",2039,2476,1794,2127
"PSMC6",3634,5265,4068,3837
"STYX",1262,1503,1139,1265
"GNPNAT1",4624,6199,4531,4605
"FERMT2",637,883,547,640
"DDHD1",1375,1765,1344,1386
"DDHD1-DT",0,1,0,3
"BMP4",184,245,197,144
"CDKN3",1855,2524,2066,1969
"CNIH1",2655,3590,2517,2623
"GMFB",3523,4169,2696,3577
"CGRRF1",306,439,284,314
"SAMD4A",922,1222,909,1010
"GCH1",1305,1792,1200,1379
"MIR4308",0,0,2,0
"WDHD1",1763,1983,1724,1604
"SOCS4",1547,1619,1355,1705
"MAPK1IP1L",4034,5355,3727,4117
"LGALS3",11779,17488,13974,12560
