"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"MIR6859-1",20,6,10,15,16,10,1,8
"MIR6859-2",0,0,0,0,0,0,1,0
"FAM87B",17,24,18,25,7,17,17,12
"LINC01128",834,794,728,999,473,646,775,868
"FAM41C",1,0,1,0,0,0,0,0
"LINC02593",1230,1015,1171,1360,1017,1246,747,1068
"SAMD11",1063,980,890,1616,961,1539,465,792
"NOC2L",12704,12169,9370,14207,9378,12725,8113,10774
"KLHL17",1072,834,838,1428,695,1198,504,705
"PLEKHN1",1183,1022,912,1602,845,1374,563,871
"PERM1",664,437,374,669,549,560,261,335
"HES4",664,487,533,1287,499,849,327,345
"ISG15",64573,41410,34835,96274,63750,61734,14092,21845
"AGRN",17668,13950,12848,23258,10120,17517,7768,12678
"RNF223",990,619,714,1948,683,966,350,394
"C1orf159",1257,936,1009,1627,931,1248,525,685
"MIR200B",1,0,1,1,0,3,0,1
"MIR200A",0,4,8,1,1,3,1,3
"MIR429",8,12,12,9,4,12,7,4
"TTLL10",14,13,15,17,9,17,6,12
"TNFRSF18",54,90,59,95,87,124,12,44
"TNFRSF4",5,2,1,3,2,3,2,2
"SDF4",6556,5976,4907,8007,5018,6443,4013,5611
"B3GALT6",1790,1800,1517,2026,1636,1917,1439,1621
"C1QTNF12",30,44,36,74,51,73,27,29
"UBE2J2",2551,2313,2044,3017,1995,2817,1825,2055
"SCNN1D",196,160,173,274,180,263,96,140
"ACAP3",3738,3445,3050,4865,2779,4055,2086,3145
"PUSL1",987,895,826,1313,933,1233,475,671
"INTS11",4351,3720,3253,5384,3322,4102,2383,3370
"MIR6727",0,0,0,1,0,0,0,0
"CPTP",1074,1009,799,1504,1077,1492,607,832
"TAS1R3",140,97,90,138,71,114,51,110
"DVL1",3637,3468,3089,5380,3268,4489,1580,2277
"MXRA8",210,173,187,219,111,163,152,167
"AURKAIP1",5581,4374,4714,7591,6461,6498,2991,4054
"CCNL2",7639,6799,7508,8880,4632,6422,5410,5865
"MRPL20-AS1",1114,1018,843,1192,737,1002,743,1038
"MRPL20",4848,4230,3803,5961,3993,5050,3563,3656
"ANKRD65",11,8,7,12,2,8,6,13
"TMEM88B",0,0,2,0,0,0,0,0
"VWA1",1262,1143,940,1744,1106,1514,510,815
"ATAD3C",166,124,149,199,125,164,116,130
"ATAD3B",1881,1611,1513,2602,1552,2356,926,1370
"ATAD3A",2559,2325,1868,3864,2635,3505,1115,1731
"TMEM240",4,2,2,7,4,6,0,0
"SSU72",8771,7142,7289,10012,7282,7821,6982,6937
"FNDC10",5636,5245,4349,7451,6079,7552,2262,3511
"MIB2",743,582,662,1287,474,992,296,512
"CDK11B",2289,1884,1530,2759,1488,1994,1841,2059
"SLC35E2B",3015,2845,2318,3172,1282,2139,2388,3003
"CDK11A",1433,996,989,1639,783,1120,933,1105
"NADK",4879,4428,3620,5601,3105,4135,3150,4094
"GNB1",25545,22451,19636,27209,14495,20065,20435,23468
"GNB1-DT",14,10,7,26,16,21,17,18
"CALML6",405,304,440,427,296,306,307,373
"TMEM52",291,291,226,373,248,347,140,250
"CFAP74",12,6,5,9,5,7,8,9
"GABRD",81,62,34,112,67,71,30,27
"PRKCZ",2030,1688,1404,2231,1090,1403,1390,1896
"PRKCZ-AS1",285,213,178,239,148,204,119,170
"FAAP20",973,839,886,1261,843,1096,594,778
"SKI",3022,2792,2623,3241,1597,2564,2108,2682
"MORN1",515,376,384,620,283,405,310,411
"RER1",7196,6347,5990,8122,5050,6479,5945,6123
"PEX10",1987,2170,1754,2704,1408,2218,1403,1751
"PLCH2",13,15,8,17,2,10,7,11
"PANK4",8,38,39,69,40,8,6,7
"TNFRSF14",0,0,0,0,0,0,1,2
"PRXL2B",11,9,6,10,9,8,6,8
"MMEL1",2,0,3,0,2,0,0,0
"PRDM16-DT",66,35,51,67,34,51,27,47
"PRDM16",499,436,299,562,297,407,278,352
"ARHGEF16",3867,3169,2724,5010,2633,3488,2016,3003
"MEGF6",2237,1834,1922,2810,1274,2169,1211,1554
"TPRG1L",2606,1970,2147,2743,1548,1786,2079,2273
"WRAP73",1866,1700,1449,2294,1178,1627,1153,1544
"TP73",807,713,569,1054,478,757,447,582
"TP73-AS1",0,0,2,0,1,3,1,1
"CCDC27",23,20,16,35,12,12,14,17
"SMIM1",145,128,124,175,136,162,65,86
"LRRC47",4967,4486,3894,5573,3797,4515,3574,4073
"CEP104",2731,2534,2057,3040,1662,2113,2010,2292
"DFFB",632,608,438,580,407,565,488,494
"C1orf174",1513,1351,1219,1647,1003,1177,1228,1269
"LINC01134",7,5,3,5,3,7,5,6
"AJAP1",0,10,0,5,2,1,1,1
"MIR4689",0,0,1,0,0,0,0,0
"NPHP4",2273,1977,1430,2700,1214,1812,1235,1899
"KCNAB2",2103,1788,1576,2344,1401,1856,1383,1930
"CHD5",605,728,373,686,570,833,405,707
"RPL22",8112,6954,8398,10915,7195,9419,6889,6061
"RNF207-AS1",25,22,23,28,14,21,27,23
"RNF207",870,742,657,999,486,683,595,620
"ICMT",7610,7350,6103,8095,4625,6822,5995,7036
"GPR153",1128,1011,507,1104,758,1049,575,840
"ACOT7",4190,4095,3283,5486,3675,4918,2545,3381
"HES2",266,240,237,253,165,189,221,272
"ESPN",1995,1851,2045,2728,1931,2495,1331,1946
"MIR4252",1,0,0,0,1,1,0,0
"TNFRSF25",949,814,734,1071,688,1032,459,781
"PLEKHG5",2510,2333,1777,2913,1429,2159,1317,1927
"NOL9",2120,1757,1837,2097,1317,1869,1836,1850
"TAS1R1",13,18,9,14,11,7,7,15
"ZBTB48",1567,1125,1093,1584,1042,1075,964,1234
"KLHL21",2001,2210,1674,2172,1394,1946,1527,2121
"PHF13",2534,2095,2003,2205,1291,1781,2092,2387
"THAP3",557,465,475,660,409,472,306,445
"DNAJC11",4466,4526,3127,4657,2538,3503,3743,4400
"CAMTA1",1733,1256,1495,1924,1116,1494,1249,1223
"VAMP3",4684,4075,4537,5315,2853,4002,3973,3882
"PER3",2894,1688,2135,3068,715,1151,2229,2192
"UTS2",0,0,0,1,0,0,0,0
"TNFRSF9",0,0,0,0,1,1,0,0
"PARK7",9473,8561,8115,11680,7860,10377,7859,7648
"ERRFI1",9199,8785,3942,10993,4581,6657,4680,4833
"LINC01714",1,1,0,0,0,0,0,0
"SLC45A1",7,10,4,3,9,4,0,7
"RERE",6338,5812,4525,6179,3037,4585,4411,5683
"ENO1",163874,124431,105823,161256,95781,121824,107254,132885
"MIR6728",5,0,1,4,5,6,2,1
"ENO1-AS1",24,23,30,38,17,44,36,35
"CA6",0,0,0,2,0,0,0,0
"SLC2A7",2,2,0,1,1,3,0,1
"SLC2A5",10,17,11,10,18,30,11,23
"GPR157",424,384,258,422,227,289,255,420
"MIR34A",1,0,2,0,0,2,3,0
"H6PD",4050,3914,2816,3877,2219,2884,3095,3958
"SPSB1",1018,1136,864,1123,820,1054,937,1234
"LINC02606",49,28,30,39,26,39,40,36
"SLC25A33",990,982,906,1075,651,962,874,766
"TMEM201",1944,1916,1398,2376,1534,2285,975,1455
"PIK3CD",145,141,116,152,84,107,85,128
"PIK3CD-AS2",17,14,11,20,13,15,5,14
"CLSTN1",19436,16751,13168,19405,10505,13295,14045,18452
"CTNNBIP1",2101,1828,1894,2400,1501,1972,1617,1976
"LZIC",1215,1186,1079,1295,688,1010,1080,1040
"NMNAT1",561,459,525,609,307,469,527,521
"MIR5697",0,0,0,0,0,0,0,1
"RBP7",15,9,7,9,4,3,5,9
"UBE4B",4588,4236,3426,4649,2374,3417,3715,4181
"KIF1B",4335,3630,2816,4042,1544,2584,3346,3686
"PGD",17846,16490,13400,18282,11879,15280,14736,17069
"CENPS",120,99,154,158,74,171,82,82
"CORT",7,11,14,7,7,13,5,7
"DFFA",2604,2471,1929,2827,1906,2395,1916,2134
"PEX14",1321,1050,996,1614,975,1196,787,1072
"CASZ1",2652,2306,1689,3107,1147,1851,1322,1866
"C1orf127",28,53,18,20,34,51,27,30
"TARDBP",12321,11350,10022,14029,7175,10428,9904,9994
"MASP2",153,224,176,138,137,170,174,186
"SRM",10036,14046,8136,11852,12453,16416,7374,9892
"EXOSC10",7181,7322,5933,8054,4668,6952,6096,6027
"MTOR",8468,8410,5905,8783,4079,6021,6959,8200
"MTOR-AS1",2,2,2,1,0,0,2,0
"ANGPTL7",9,3,1,3,2,3,4,1
"UBIAD1",2529,2501,1979,2602,1670,2314,2005,2196
"DISP3",172,171,121,194,111,174,107,174
"LINC01647",8,4,3,10,5,11,3,10
"FBXO2",44,37,61,69,55,49,30,34
"FBXO44",916,832,725,990,824,840,594,749
"FBXO6",1153,1116,723,1365,879,1127,663,890
"MAD2L2",2800,2201,1904,2863,2057,2226,1670,2046
"DRAXIN",12,1,12,12,6,3,10,4
"AGTRAP",2158,1640,1569,2594,1724,1922,1218,1520
"C1orf167",0,0,1,3,0,0,1,0
"C1orf167-AS1",0,0,0,0,0,0,0,1
"MTHFR",1650,1536,1230,1585,941,1205,1382,1718
"CLCN6",1085,992,771,1056,544,790,764,947
"NPPA",22,11,12,17,8,7,5,10
"NPPB",3,2,0,8,2,2,0,0
"KIAA2013",4968,4218,3531,5556,3572,4632,3113,4266
"PLOD1",4610,4041,2877,4430,3030,3729,2965,4207
"MFN2",9809,9029,6604,10202,5409,7635,7444,8878
"MIIP",1631,1190,999,1889,1277,1571,616,969
"TNFRSF8",7,8,1,11,0,1,3,2
"TNFRSF1B",0,0,0,1,0,1,1,0
"VPS13D",6945,6806,4994,6895,3226,4276,5844,6444
"SNORA59A",2,6,8,15,8,3,2,6
"DHRS3",97,49,65,161,82,75,51,55
"MIR6730",1,0,0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0,0,1
"HNRNPCL1",15,16,15,23,17,15,15,9
"HNRNPCL2",0,0,2,0,1,0,0,0
"PRAMEF20",0,2,2,2,0,0,0,3
"LRRC38",2,0,0,1,0,2,1,1
"PDPN",0,0,0,1,0,0,0,0
"PRDM2",2618,2518,1913,2669,1052,1572,2176,2366
"KAZN",986,1105,782,1150,729,1031,642,835
"TMEM51-AS1",30,18,21,34,10,19,25,26
"TMEM51",1011,616,626,1178,566,662,515,642
"TMEM51-AS2",2,0,0,2,0,2,1,1
"FHAD1",8,7,3,14,7,8,3,9
"FHAD1-AS1",4,1,0,2,0,0,1,0
"EFHD2",1705,1446,1403,2225,1444,1864,948,1228
"CTRC",16,12,7,12,8,8,11,9
"CELA2A",0,1,0,0,0,0,0,2
"CELA2B",3,0,0,10,2,5,2,1
"CASP9",630,381,381,856,297,313,357,413
"DNAJC16",1233,1156,1100,1344,572,984,1099,1120
"AGMAT",581,620,517,592,386,566,521,588
"DDI2",454,463,224,397,140,223,319,419
"RSC1A1",414,465,303,448,217,325,375,344
"PLEKHM2",6191,5331,3999,6928,3824,5140,3317,4698
"SLC25A34",35,31,38,55,33,47,30,58
"FBLIM1",168,186,146,162,111,172,99,101
"UQCRHL",943,748,719,1272,835,990,801,789
"SPEN-AS1",320,270,296,401,234,291,241,241
"SPEN",10204,10141,6269,9674,4264,6482,7566,8860
"ZBTB17",1425,1224,1035,2046,1108,1382,738,1145
"SRARP",1,3,7,2,2,6,1,0
"HSPB7",1,12,3,3,6,1,2,8
"CLCNKA",29,26,22,23,25,35,14,16
"CLCNKB",15,6,5,12,5,17,6,8
"FAM131C",120,151,96,135,134,157,91,107
"EPHA2",1820,1671,896,2152,1259,1540,979,1179
"ARHGEF19",2032,1763,1241,2455,1479,1866,1035,1436
"CPLANE2",259,226,167,274,186,186,160,220
"FBXO42",2756,2413,2162,2836,1523,2045,2298,2697
"SZRD1",13609,11358,9950,14858,8612,10729,9932,10921
"SPATA21",1,3,7,4,2,4,2,5
"NECAP2",3279,2374,2293,3426,1900,2167,2313,2644
"RNU1-1",0,0,0,3,0,0,0,0
"NBPF1",1422,1484,981,1657,607,920,1217,1475
"RNU1-4",0,0,0,1,1,0,0,1
"CROCC",1000,787,859,1370,744,1119,520,726
"RNU1-2",0,0,0,1,1,1,0,0
"MFAP2",258,234,206,257,133,179,170,255
"ATP13A2",2152,1812,1349,2460,1492,2000,1028,1721
"SDHB",5048,4771,4499,6361,3451,5400,4166,4153
"PADI2",1494,1484,1315,1560,932,1312,1508,1906
"PADI1",50,31,26,61,23,31,24,27
"PADI3",106,82,100,113,86,88,117,161
"MIR3972",1,2,0,0,0,0,0,0
"PADI4",4,4,0,0,3,1,2,0
"PADI6",1,0,3,2,0,1,0,5
"RCC2",26359,24442,20242,26992,15985,20135,21077,24508
"ARHGEF10L",2822,2455,2116,3534,1720,2526,1602,2348
"ACTL8",83,88,46,79,125,127,74,122
"IGSF21",0,3,3,1,0,1,2,4
"KLHDC7A",24,19,25,37,28,27,21,18
"PAX7",36,44,58,51,11,21,35,30
"TAS1R2",0,2,2,4,0,0,1,2
"ALDH4A1",10188,8544,7201,11805,5637,7409,6285,8702
"MIR1290",2,0,2,5,1,0,0,0
"IFFO2",1628,1302,985,1846,868,1106,1058,1206
"UBR4",20406,19976,12577,18813,8828,12663,15634,19781
"EMC1",5593,5422,3849,5748,3193,4274,4544,5352
"MRTO4",5074,4846,3727,5357,4016,5221,3865,3999
"AKR7L",119,97,130,114,90,109,102,111
"AKR7A3",80,89,73,105,67,75,62,71
"AKR7A2",4676,3852,3531,5180,3157,3866,3141,3658
"SLC66A1",1142,1032,784,1326,924,1135,649,907
"CAPZB",13275,11266,10894,14639,7939,10842,11306,11467
"MICOS10",2135,1700,1907,2662,1600,2062,1698,1574
"NBL1",0,0,1,0,0,2,0,0
"HTR6",82,90,70,90,79,86,48,55
"TMCO4",1298,1106,884,1475,810,1057,837,1120
"OTUD3",686,722,607,684,359,576,581,676
"PLA2G2A",9,0,2,1,3,4,2,2
"PLA2G2F",0,0,0,0,0,1,0,1
"UBXN10",0,0,0,0,1,0,0,0
"VWA5B1",0,1,1,0,3,0,1,2
"CAMK2N1",1630,1574,1535,1872,1037,1558,1314,1376
"MUL1",2992,2565,1860,3169,1836,2306,2170,2700
"CDA",5,2,3,5,0,0,3,10
"PINK1",1132,815,735,1137,558,661,668,925
"PINK1-AS",216,209,157,210,96,146,190,200
"DDOST",19108,17054,14809,21284,12326,16999,14439,16697
"KIF17",22,19,21,21,8,14,18,17
"SH2D5",131,151,107,137,110,150,60,116
"HP1BP3",10179,10160,9509,11190,5379,7875,9928,9939
"EIF4G3",7417,7780,6168,8442,3456,5544,6904,7034
"ECE1",12760,11384,7488,13306,7671,9460,7439,9742
"ECE1-AS1",21,14,2,24,13,18,15,12
"NBPF3",1589,1543,1201,1562,714,1044,1432,1497
"ALPL",34,55,40,47,72,78,36,45
"RAP1GAP",4454,3961,3893,5347,3133,3783,3503,4860
"USP48",3934,3658,3692,4499,2036,3456,3653,3309
"LDLRAD2",3,6,5,11,6,9,5,7
"HSPG2",1331,1453,779,1426,600,1139,642,1237
"CELA3B",0,1,0,1,0,1,0,0
"CELA3A",0,0,0,0,0,1,0,0
"LINC01635",3,5,4,4,2,6,19,1
"LINC00339",818,675,679,845,469,730,680,628
"CDC42",12767,10975,11228,14785,7698,10735,10974,10707
"WNT4",245,140,110,241,116,158,110,131
"ZBTB40",5238,4451,3357,5394,2347,3595,3813,4416
"EPHA8",26,26,17,30,6,14,16,23
"C1QA",3,0,0,3,2,0,0,0
"EPHB2",870,828,572,935,557,690,563,756
"MIR4684",0,0,0,0,0,0,0,1
"LACTBL1",0,0,0,2,0,0,0,0
"TEX46",2,1,0,3,3,4,1,4
"KDM1A",9887,9744,8357,10261,6320,8787,8931,9235
"LUZP1",2312,1983,1331,2364,1017,1308,1773,1902
"HTR1D",151,119,71,116,57,86,66,81
"HNRNPR",15632,14145,11754,17697,8868,12281,12605,12934
"ZNF436",1063,1253,1142,1093,625,909,1149,1259
"TCEA3",3385,3109,2534,3831,2883,3320,2662,2777
"ASAP3",2713,4826,2639,2779,3094,4105,2862,3568
"E2F2",3521,3334,1922,3438,2327,2819,2240,2752
"ID3",9437,5704,4208,13161,5018,5760,3188,3547
"RPL11",41001,31947,32248,47312,34757,38812,33318,30969
"ELOA",5695,5888,4097,6286,3653,4920,4660,5097
"ELOA-AS1",12,24,31,33,7,25,15,20
"PITHD1",2193,1915,1806,2329,1638,1976,1820,1806
"LYPLA2",5190,4108,3724,6149,3546,4313,2953,3993
"GALE",2083,1916,1455,2375,1583,1950,1245,1626
"HMGCL",1953,1387,1618,2160,1105,1403,1437,1609
"FUCA1",1764,1703,1856,2083,1121,1812,1698,1496
"CNR2",1,4,3,1,0,3,2,5
"PNRC2",4047,3732,4257,4965,2220,3845,2838,2741
"SRSF10",6192,6141,6195,7115,3228,5760,5137,4803
"MYOM3",6,2,0,8,2,0,1,3
"IL22RA1",85,49,33,66,43,41,21,35
"IFNLR1",204,138,111,171,86,114,122,140
"LINC02800",0,0,1,1,0,0,0,0
"GRHL3",1370,1062,736,1235,543,881,739,935
"STPG1",359,290,299,354,172,277,280,302
"NIPAL3",1613,1519,1420,1797,957,1260,1549,1492
"RCAN3AS",6,2,3,7,6,6,6,7
"RCAN3",618,511,539,731,341,524,547,621
"NCMAP",295,304,194,310,156,234,190,170
"SRRM1",6174,5887,4459,6463,3075,4385,5034,5395
"CLIC4",3121,3020,3226,3466,1363,2408,2595,2772
"RUNX3",1,1,2,3,0,0,0,3
"SYF2",1710,1451,1801,2370,1137,1989,1491,1326
"RSRP1",1099,742,1156,1488,541,887,731,760
"RHD",10,9,11,12,8,2,7,12
"TMEM50A",1656,1345,1635,2182,967,2085,1324,1110
"RHCE",15,17,16,16,20,19,24,18
"MACO1",1641,1538,1405,1888,1120,1508,1444,1432
"LDLRAP1",2709,2499,2023,3029,1857,2455,1993,2450
"MAN1C1",204,156,130,206,104,132,133,152
"SELENON",3410,3185,2398,3212,2119,2416,2291,3407
"MTFR1L",1836,1644,1732,1900,1239,1657,1585,1475
"AUNIP",861,963,749,1020,681,842,732,674
"PAQR7",431,399,258,390,366,346,264,337
"STMN1",13225,10000,11789,14334,7276,11070,11105,9647
"PAFAH2",1170,1008,873,1327,713,894,910,1127
"EXTL1",8,11,9,9,11,10,4,13
"SLC30A2",1,1,0,1,0,1,1,0
"TRIM63",0,0,2,0,0,0,1,0
"PDIK1L",863,860,967,940,406,730,754,705
"FAM110D",1,2,0,0,1,1,4,0
"ZNF593",1621,1112,1204,2094,1754,1739,944,1094
"CNKSR1",1903,1478,1354,2121,1164,1454,1297,1649
"CATSPER4",3,1,1,0,0,1,1,1
"ZPLD2P",2,0,0,0,0,0,0,0
"CEP85",2237,1899,1517,2451,1180,1582,1749,1824
"SH3BGRL3",5786,4322,3791,5727,4444,4959,3942,4379
"UBXN11",1119,727,811,1240,672,794,572,766
"CD52",0,0,0,0,0,0,0,1
"CRYBG2",166,146,90,148,88,101,89,152
"LIN28A",2,1,0,0,0,0,6,1
"DHDDS",2650,2346,1732,2727,1597,1962,2094,2420
"HMGN2",14658,12180,10416,16458,9387,13201,11882,11305
"RPS6KA1",4866,4410,3301,5145,2942,3783,3624,4561
"ARID1A",13062,11199,7732,12132,5135,7471,9027,11099
"PIGV",1682,1537,1443,1851,968,1407,1446,1650
"ZDHHC18",3411,3127,2426,3472,2253,2749,2536,3016
"SFN",6677,5269,3838,7585,5841,6076,3243,4868
"GPN2",1463,1138,913,1573,1003,1228,926,1102
"GPATCH3",1326,1007,878,1445,910,1049,849,1127
"NUDC",9148,7519,6316,10644,8821,9869,6119,6805
"NR0B2",2,16,3,3,6,16,1,3
"KDF1",1561,1519,1354,1803,1262,1759,1206,1527
"TRNP1",296,700,322,337,623,782,385,429
"TENT5B",1105,1603,887,1274,1200,1464,1010,1189
"SLC9A1",4585,4031,3132,4660,2465,3164,3020,4572
"WDTC1",4631,4091,3321,4518,2222,3230,3580,4409
"TMEM222",2893,2409,1945,3061,2221,2606,1729,2217
"SYTL1",1197,1042,973,1702,1167,1470,534,866
"MAP3K6",2691,2512,1851,2892,1790,2521,1472,2232
"FCN3",27,40,40,37,35,54,26,48
"CD164L2",45,59,29,23,24,37,25,55
"GPR3",170,189,112,227,100,158,134,89
"WASF2",9440,8659,6511,8918,4625,6563,7451,9050
"AHDC1",713,653,429,956,428,682,323,475
"FGR",2,5,6,9,3,1,1,4
"IFI6",93439,67212,63875,106589,76185,89213,60748,60773
"FAM76A",625,472,502,651,255,467,484,449
"STX12",1989,1669,1652,2354,1114,1511,1560,1787
"PPP1R8",3271,3051,3020,3658,2015,2859,2797,2793
"SCARNA1",0,1,3,2,0,1,1,1
"THEMIS2",468,241,170,441,156,223,176,239
"RPA2",3393,2964,2631,3793,2005,3043,2692,2665
"SMPDL3B",526,462,332,540,372,506,350,443
"XKR8",487,446,370,516,314,433,339,442
"EYA3",1929,1641,1445,1918,1046,1375,1611,1680
"PTAFR",312,193,132,277,121,146,151,194
"DNAJC8",5616,5172,5294,7783,3998,5752,4854,4518
"ATP5IF1",5036,4013,4915,7038,4064,5702,3992,3740
"SESN2",1468,920,787,1400,754,722,794,1112
"MED18",952,864,785,1068,513,680,886,943
"PHACTR4",3539,3330,2644,3443,1651,2339,3032,3323
"RCC1",10071,8962,6619,11557,6781,9081,6793,7816
"SNHG3",3655,2475,2256,4105,2574,3023,1933,1994
"SNORA73B",226,99,73,153,99,146,87,98
"TRNAU1AP",1121,884,857,1196,774,929,892,870
"SNHG12",775,550,542,990,559,630,398,417
"SNORD99",72,24,36,75,48,44,31,47
"SNORA61",155,91,90,158,67,103,87,99
"SNORA44",65,51,41,69,47,63,58,77
"SNORA16A",31,25,25,37,22,21,16,22
"RAB42",0,0,0,1,0,0,0,2
"TAF12",1457,1296,1323,1684,943,1342,1335,1137
"RNU11",9,5,12,28,3,17,1,4
"GMEB1",1202,786,721,1122,547,771,940,1029
"YTHDF2",6105,6201,5292,6868,3253,4983,5674,5854
"OPRD1",1,1,0,1,0,1,0,2
"EPB41",4305,3858,2674,4295,2029,2720,3112,3276
"TMEM200B",5,3,3,4,0,4,2,7
"SRSF4",5893,4898,4360,6455,3919,4725,4178,4005
"MECR",2188,1891,1745,2212,1609,1835,1719,2017
"PTPRU",4700,3925,2917,5158,2644,3639,2747,4043
"LINC01756",2,1,0,2,0,1,1,4
"MATN1",33,21,15,43,9,16,16,15
"MATN1-AS1",221,153,144,267,100,146,127,119
"LAPTM5",11,5,4,5,6,4,5,9
"SDC3",2279,1981,1535,2299,1208,1599,1424,2027
"PUM1",6411,5641,4395,6838,2656,3793,5032,5764
"NKAIN1",247,203,120,238,139,170,127,156
"SNRNP40",2777,2248,1880,3022,1589,2192,2141,1866
"ZCCHC17",1656,1385,1244,1997,1175,1410,1405,1266
"FABP3",12,10,7,17,6,11,8,8
"SERINC2",455,314,330,482,350,469,259,343
"LDC1P",0,1,0,3,0,0,2,0
"TINAGL1",13,15,10,11,9,12,11,7
"HCRTR1",4,2,4,3,2,2,0,2
"PEF1",3174,2665,2370,3661,2262,2737,2342,2801
"COL16A1",285,260,179,414,283,294,133,205
"ADGRB2",501,473,369,616,324,502,261,407
"MIR4254",0,0,1,0,0,0,0,0
"SPOCD1",231,198,193,282,162,213,181,236
"PTP4A2",5671,5295,5565,6216,3636,5374,5486,5019
"KHDRBS1",11537,10667,11021,13246,6211,10244,9287,9078
"TMEM39B",1289,1033,882,1402,773,1086,812,926
"KPNA6",6770,6191,5285,6596,3742,4919,5963,6319
"TXLNA",5622,4817,3780,5958,3356,4517,4081,4849
"CCDC28B",294,248,200,368,203,240,115,152
"TMEM234",523,369,360,587,259,382,356,359
"IQCC",610,452,392,645,342,462,422,446
"DCDC2B",17,11,12,17,11,11,16,11
"EIF3I",13623,12435,9986,14894,10646,13058,10933,11765
"FAM167B",36,23,25,31,27,25,10,16
"LCK",1,6,1,1,2,1,0,1
"HDAC1",12017,10641,9571,13477,7533,10187,10462,10502
"MARCKSL1",13295,9844,9651,14708,8917,10691,9390,9815
"FAM229A",4,12,14,28,15,30,2,4
"TSSK3",226,192,202,231,142,180,176,229
"BSDC1",5521,4552,3842,5980,2916,3876,4468,5257
"ZBTB8B",3,5,1,6,0,3,5,2
"ZBTB8A",815,693,644,928,425,579,626,586
"ZBTB8OS",985,931,1074,1255,840,1153,896,828
"RBBP4",7086,6973,5971,7985,3327,5851,6315,6211
"SYNC",11,14,6,7,5,9,6,11
"KIAA1522",22040,17426,14560,21419,10947,14283,14427,19103
"YARS1",6503,6311,4543,6949,4620,6106,5068,5695
"S100PBP",1403,1261,1210,1574,751,1174,1213,1105
"FNDC5",47,34,25,46,20,18,27,22
"HPCA",29,16,19,42,10,17,16,20
"TMEM54",3233,2407,2161,4056,2425,3120,1705,2294
"RNF19B",2244,1436,981,2243,1015,1109,1110,1267
"AK2",10447,9708,8551,11853,7374,9782,8124,8031
"AZIN2",117,81,66,103,40,58,59,87
"TRIM62",1541,1401,1231,1618,844,1225,1239,1374
"ZNF362",3133,2382,2276,3200,1928,2454,1938,2473
"A3GALT2",0,1,0,1,2,3,0,2
"PHC2",3919,3193,2519,3931,2400,2770,2555,3267
"MIR3605",2,4,0,1,3,0,1,3
"PHC2-AS1",11,13,13,10,8,9,7,6
"ZSCAN20",278,195,158,228,107,144,245,271
"CSMD2",1,0,1,0,0,1,0,0
"GJB5",26,16,12,17,4,12,10,21
"GJB4",5,2,6,3,5,5,4,5
"GJB3",26,40,7,30,27,28,10,30
"GJA4",1,3,0,2,0,3,0,1
"SMIM12",2789,2607,2149,2952,2060,2522,2251,2439
"DLGAP3",142,106,85,168,96,134,57,100
"GPR199P",95,97,109,105,44,84,103,88
"TMEM35B",528,409,411,566,274,418,376,338
"ZMYM6",713,747,854,785,352,577,645,636
"ZMYM1",462,509,603,482,178,368,422,433
"SFPQ",29897,26815,22772,32589,16071,23645,24067,23084
"ZMYM4",4411,3918,3550,4670,1968,3110,3755,3452
"KIAA0319L",8039,6436,5419,8089,4258,5279,6297,6989
"NCDN",3672,3308,2526,4324,2310,3293,2147,3057
"TFAP2E",52,44,37,56,28,46,39,39
"PSMB2",9428,8652,7503,10157,6988,8653,7453,7916
"C1orf216",1430,1346,1093,1555,1012,1395,1046,1262
"CLSPN",2585,2096,1537,2864,1219,1808,1811,1676
"AGO4",1303,1101,1113,1330,589,820,1061,1168
"AGO1",2320,2184,1648,2250,1030,1499,1952,2233
"AGO3",896,852,755,953,476,710,848,836
"TEKT2",12,1,4,4,3,3,0,5
"ADPRS",2993,2345,1904,3172,2018,2364,1801,2245
"COL8A2",9,5,4,7,1,9,6,8
"TRAPPC3",3745,3088,3254,4396,2751,3325,3349,3088
"MAP7D1",4152,3540,2774,4789,3175,3762,2716,3569
"THRAP3",13250,12454,9449,14511,7761,10127,11243,12295
"SH3D21",633,565,363,592,256,359,369,523
"EVA1B",228,189,154,304,170,202,105,117
"STK40",3978,2610,2414,4839,1935,2364,2194,2825
"LSM10",2585,2036,1945,3209,1899,2015,1682,1808
"OSCP1",515,416,388,538,291,350,402,407
"MRPS15",3857,3715,3335,4982,3464,4254,3288,3248
"CSF3R",1,3,1,1,0,0,1,0
"GRIK3",957,1618,745,949,818,1329,909,1246
"ZC3H12A-DT",589,397,420,673,362,420,370,439
"ZC3H12A",5744,4337,2929,7780,2317,3446,2538,3208
"MIR6732",16,8,3,34,6,11,7,8
"MEAF6",4526,3711,4476,5419,2509,3801,3955,4344
"MIR5581",7,9,5,3,1,5,9,6
"SNIP1",1845,1259,1430,1908,875,1142,1371,1313
"DNALI1",51,39,38,70,24,46,31,35
"GNL2",5152,4499,4320,6262,3434,4494,4372,4154
"RSPO1",24,17,19,30,10,17,12,26
"C1orf109",935,1039,755,1077,560,768,726,800
