"gene","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro"
"ACAP2",27738,24554,25436,23505,22923,23531
"ACAP3",8223,6076,8381,6879,7477,5837
"ACAT1",16616,12685,12284,11666,11307,12390
"ACAT2",40078,30414,30250,30220,29160,29470
"ACBD3",19857,16168,16402,15038,14235,15874
"ACBD4",544,337,456,418,458,382
"ACBD5",9885,8033,8298,7611,7630,7828
"ACBD6",8367,6191,6541,6189,6235,6098
"ACBD7",214,156,147,146,170,136
"ACCS",973,731,1147,937,1031,780
"ACCSL",21,10,16,12,20,10
"ACD",4564,3429,3981,3483,3680,3314
"ACE",78,58,65,73,79,70
"ACE2",35,27,30,30,22,35
"ACE2-DT",2,0,0,0,0,2
"ACER1",3,2,2,3,0,6
"ACER2",636,622,573,611,582,566
"ACER3",10310,7916,8510,7790,7438,7839
"ACHE",35,23,32,30,23,20
"ACIN1",39565,31354,39981,35131,36493,30814
"ACKR1",17,10,17,11,11,13
"ACKR2",20,18,16,23,8,12
"ACKR3",420,303,352,295,292,301
"ACKR4",23,10,22,20,10,12
"ACLY",133733,107056,111958,112499,114455,106256
"ACMSD",8,5,8,5,7,3
"ACO1",21049,15776,17140,16513,16182,16241
"ACO2",11496,9162,10279,9415,9925,9466
"ACOD1",0,0,0,2,2,1
"ACOT1",1579,1211,1203,1190,1104,1118
"ACOT11",574,482,557,545,492,479
"ACOT12",0,0,1,1,1,3
"ACOT13",4390,3265,3284,3035,3020,3190
"ACOT2",4050,2909,3160,2989,2861,2693
"ACOT4",702,544,530,494,496,471
"ACOT6",3,1,1,0,1,0
"ACOT7",18614,13937,14446,13399,13907,13697
"ACOT8",3171,2317,2432,2331,2349,2394
"ACOT9",14040,11367,11467,11010,10918,10801
"ACOX1",8811,7054,7717,6977,7011,6948
"ACOX2",141,93,82,97,85,108
"ACOX3",1860,1534,1711,1538,1567,1502
"ACOXL",170,135,125,154,181,169
"ACOXL-AS1",9,2,13,8,7,11
"ACP1",17111,13054,13095,12200,12345,12814
"ACP2",7267,5573,6097,5577,5726,5586
"ACP3",37,21,29,34,24,29
"ACP4",24,9,13,15,11,12
"ACP5",104,83,96,71,66,52
"ACP6",1669,1259,1506,1323,1419,1257
"ACP7",412,237,306,307,311,286
"ACR",8,1,7,5,6,7
"ACRBP",49,34,65,47,54,38
"ACRV1",99,64,81,81,75,71
"ACSBG1",93,71,82,64,73,67
"ACSBG2",62,28,77,56,46,51
"ACSF2",6197,4802,5247,4857,5032,4802
"ACSF3",2634,1936,2224,1970,2164,2028
"ACSL1",5324,5919,4267,4153,4299,4309
"ACSL3",68795,61145,55004,53783,53055,53912
"ACSL4",56429,45078,46336,44566,42818,45550
"ACSL5",1191,970,967,900,843,870
"ACSL6",230,175,225,183,168,179
"ACSM1",0,0,1,2,3,4
"ACSM2A",0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0
"ACSM3",132,121,126,108,101,122
"ACSM4",29,21,36,31,23,24
"ACSM5",38,29,29,22,21,23
"ACSM6",9,2,5,10,6,2
"ACSS1",1469,1253,1237,1208,1252,1039
"ACSS2",16147,12461,13114,13994,13932,11745
"ACSS3",1698,1421,1475,1348,1327,1380
"ACTA1",17,9,11,13,22,16
"ACTA2",1454,1051,1073,1050,1128,1054
"ACTB",684763,529157,545784,517343,536131,522858
